"id","appno","tmappliedfor","created_at","updated_at"
"1","2874355","New noushad Bakes","2016-05-10 12:57:56","2016-05-10 12:57:56"
"2","2874356","La Breanda The Boutique","2016-05-10 12:57:56","2016-05-10 12:57:56"
"3","2874363","Chantham","2016-05-10 12:57:56","2016-05-10 12:57:56"
"4","2875422","ZEENATH'S Leatherplanet","2016-05-10 12:57:57","2016-05-10 12:57:57"
"5","2875430","KELEBUY","2016-05-10 12:57:57","2016-05-10 12:57:57"
"8","2877174","SREEKUMAR ENTERPRISES WE TRUST IN TRADITION","2016-05-10 12:57:57","2016-05-10 12:57:57"
"9","2877563","aielowu","2016-05-10 12:57:57","2016-05-10 12:57:57"
"10","2877712","Lulookkas","2016-05-10 12:57:57","2016-05-10 12:57:57"
"11","2877713","SWIS","2016-05-10 12:57:57","2016-05-10 12:57:57"
"12","2877717","bfit (DEVICE)","2016-05-10 12:57:58","2016-05-10 12:57:58"
"13","2877797","MALLELIL POLYMERS PVT.LTD","2016-05-10 12:57:58","2016-05-10 12:57:58"
"14","2877801","P.J.ELECTRONICS PJE","2016-05-10 12:57:58","2016-05-10 12:57:58"
"15","2878620","BULLS.NET","2016-05-10 12:57:58","2016-05-10 12:57:58"
"16","2879071","MOTHER MART","2016-05-10 12:57:58","2016-05-10 12:57:58"
"17","2879117","VISWAS COMMUNITY FAIR PRICE MEDICAL SERVICES","2016-05-10 12:57:58","2016-05-10 12:57:58"
"18","2879274","SMILODON","2016-05-10 12:57:58","2016-05-10 12:57:58"
"19","2880977","TOP FLOOR","2016-05-10 12:57:58","2016-05-10 12:57:58"
"20","2881160","TE TUBE EnGInEERInG","2016-05-10 12:57:58","2016-05-10 12:57:58"
"21","2881431","Ajalco","2016-05-10 12:57:58","2016-05-10 12:57:58"
"22","2881433","HAJARAS","2016-05-10 12:57:58","2016-05-10 12:57:58"
"23","2881437","ALLIED","2016-05-10 12:57:58","2016-05-10 12:57:58"
"24","2881443","Matha","2016-05-10 12:57:58","2016-05-10 12:57:58"
"25","2881444","Indian by lable","2016-05-10 12:57:58","2016-05-10 12:57:58"
"26","2881529","Manha Floss","2016-05-10 12:57:58","2016-05-10 12:57:58"
"27","2881530","ROSS PETALS","2016-05-10 12:57:58","2016-05-10 12:57:58"
"28","2882125","BRILLIANCE","2016-05-10 12:57:58","2016-05-10 12:57:58"
"29","2883280","ProjectsPocket  Exclusively For Academic Projects","2016-05-10 12:57:58","2016-05-10 12:57:58"
"30","2883516","MALLELIL INDUSTRIES PVT LTD","2016-05-10 12:57:59","2016-05-10 12:57:59"
"31","2883521","imust DIGITAL PRINTERS","2016-05-10 12:57:59","2016-05-10 12:57:59"
"32","2883524","BIZME BUSInESS MEnTORS","2016-05-10 12:57:59","2016-05-10 12:57:59"
"33","2884042","RAYS THE SKY IS THE LIMIT","2016-05-10 12:57:59","2016-05-10 12:57:59"
"34","2884043","ROLE MEDICARE","2016-05-10 12:57:59","2016-05-10 12:57:59"
"35","2884240","BULLDOZ","2016-05-10 12:57:59","2016-05-10 12:57:59"
"36","2884251","JACKHAMMER","2016-05-10 12:57:59","2016-05-10 12:57:59"
"37","2884591","autotree","2016-05-10 12:57:59","2016-05-10 12:57:59"
"38","2884599","Grand Bake House","2016-05-10 12:57:59","2016-05-10 12:57:59"
"39","2884600","NEW BRIGHT","2016-05-10 12:57:59","2016-05-10 12:57:59"
"40","2884865","IE INTERIOR ENERGY","2016-05-10 12:57:59","2016-05-10 12:57:59"
"41","2887252","MAZAANI THE TASTE YOU CAN NEVER DENY","2016-05-10 12:57:59","2016-05-10 12:57:59"
"42","2887325","ZENZON","2016-05-10 12:57:59","2016-05-10 12:57:59"
"43","2887332","KVK ASSOCIATES","2016-05-10 12:57:59","2016-05-10 12:57:59"
"44","2887335","trendco","2016-05-10 12:57:59","2016-05-10 12:57:59"
"45","2887837","BILQEES","2016-05-10 12:57:59","2016-05-10 12:57:59"
"46","2887851","hellobrand creating brand solution","2016-05-10 12:57:59","2016-05-10 12:57:59"
"47","2887853","TRAYON MORE THAN JUST FURNITURE","2016-05-10 12:58:00","2016-05-10 12:58:00"
"48","2887854","gooseberrywoods","2016-05-10 12:58:00","2016-05-10 12:58:00"
"49","2887857","DEVICE","2016-05-10 12:58:00","2016-05-10 12:58:00"
"50","2887858","SJankii","2016-05-10 12:58:00","2016-05-10 12:58:00"
"51","2887894","KARUNYA OPTICALS DEVICE OF KO","2016-05-10 12:58:00","2016-05-10 12:58:00"
"52","2888317","worldmall","2016-05-10 12:58:00","2016-05-10 12:58:00"
"53","2888924","THENGA STORE","2016-05-10 12:58:00","2016-05-10 12:58:00"
"54","2888983","HINDUSTAN Spices &amp","2016-05-10 12:58:00","2016-05-10 12:58:00"
"55","2889362","MY3RDEYE","2016-05-10 12:58:00","2016-05-10 12:58:00"
"56","2889935","AMLOZ","2016-05-10 12:58:00","2016-05-10 12:58:00"
"57","2890560","ALAIN GOLD SOUK","2016-05-10 12:58:00","2016-05-10 12:58:00"
"58","2890806","escon","2016-05-10 12:58:00","2016-05-10 12:58:00"
"59","2890807","impresa","2016-05-10 12:58:00","2016-05-10 12:58:00"
"60","2890816","AYYADAN","2016-05-10 12:58:00","2016-05-10 12:58:00"
"61","2890818","SAFESHIELD INDIA","2016-05-10 12:58:01","2016-05-10 12:58:01"
"62","2890820","NECHUPADAM","2016-05-10 12:58:01","2016-05-10 12:58:01"
"63","2891622","Hotel supplymart.com","2016-05-10 12:58:01","2016-05-10 12:58:01"
"64","2891865","JAZP","2016-05-10 12:58:01","2016-05-10 12:58:01"
"65","2892036","SG SG Electronica","2016-05-10 12:58:01","2016-05-10 12:58:01"
"66","2892065","BEST BUY SUPER MARKET","2016-05-10 12:58:01","2016-05-10 12:58:01"
"67","2893645","ILLUMINE","2016-05-10 12:58:01","2016-05-10 12:58:01"
"68","2893652","iwex","2016-05-10 12:58:01","2016-05-10 12:58:01"
"69","2893653","VICTORIA CURIOS &amp","2016-05-10 12:58:01","2016-05-10 12:58:01"
"70","2893659","Koshy's Supermarket ksm (WITH LOGO)","2016-05-10 12:58:01","2016-05-10 12:58:01"
"71","2894658","Mars HYPERMARKET  i m","2016-05-10 12:58:01","2016-05-10 12:58:01"
"72","2894660","Soorya ads OOH MEDIA (WITH DEVICE)","2016-05-10 12:58:01","2016-05-10 12:58:01"
"73","2894670","afters COFFEE SANDWICHES PASTRY","2016-05-10 12:58:01","2016-05-10 12:58:01"
"74","2895099","FALCON","2016-05-10 12:58:01","2016-05-10 12:58:01"
"75","2895792","ALTERMEDIA","2016-05-10 12:58:01","2016-05-10 12:58:01"
"76","2895794","Nilanjali","2016-05-10 12:58:01","2016-05-10 12:58:01"
"77","2896034","Yara Hyper","2016-05-10 12:58:01","2016-05-10 12:58:01"
"78","2896281","SPICER","2016-05-10 12:58:01","2016-05-10 12:58:01"
"79","2896291","TGFC","2016-05-10 12:58:01","2016-05-10 12:58:01"
"80","2896292","salutem YOUR SECURITY OUR DUTY","2016-05-10 12:58:01","2016-05-10 12:58:01"
"81","2896582","KAINIKKARA","2016-05-10 12:58:01","2016-05-10 12:58:01"
"82","2896584","MENTOR GROUP","2016-05-10 12:58:01","2016-05-10 12:58:01"
"83","2896596","# PEPPER","2016-05-10 12:58:02","2016-05-10 12:58:02"
"84","2897142","NASEEMA WEDDING CENTRE","2016-05-10 12:58:02","2016-05-10 12:58:02"
"85","2897143","NASEEMA GOLD AND DIAMONDS","2016-05-10 12:58:02","2016-05-10 12:58:02"
"86","2898773","Eastern","2016-05-10 12:58:02","2016-05-10 12:58:02"
